# simDie.py
# HSC cycle rate = 10.0
# HSC Stem rate = 50.0
# days simulate = 2000
# starting cells = starting clones = 10000
# POST Simulation:
# total HSC    = 10450
# total clones = 192
CloneID	Number
9830	305
4179	291
6922	274
9302	265
8370	233
2042	203
9147	198
6117	194
9206	192
3163	167
2552	153
6836	141
510	140
4833	140
1402	137
8405	133
3248	121
2456	121
6124	119
9313	117
7464	115
4945	115
4320	110
9440	109
9707	106
5391	106
1706	105
6400	105
2702	102
8427	99
6310	96
5009	93
9793	92
7899	92
9862	91
4818	90
7313	90
7782	90
3429	89
5966	88
5058	88
6550	88
6152	87
388	86
6371	86
8644	85
4916	82
3820	82
9583	79
4563	78
7943	77
6918	75
2534	72
1834	71
6480	70
5182	70
1536	66
8438	66
4316	65
8279	65
1579	63
7278	62
412	61
8155	61
178	61
6743	59
1572	59
4947	58
1074	58
6185	56
6958	55
8811	53
3931	53
9239	51
4723	50
4082	50
4174	48
3230	47
489	46
7894	45
7306	44
9615	44
3389	44
7908	41
5727	41
6327	40
9879	38
8398	37
6208	36
2041	35
2490	35
5339	35
4948	34
3179	34
3975	34
1945	34
4267	34
3704	33
9301	33
5199	32
3590	31
1826	31
6799	31
7199	30
3570	30
1723	30
8169	30
48	30
3024	30
1463	30
9139	30
5067	29
8810	29
1870	28
9012	28
2707	28
1100	27
9051	27
5239	27
255	26
5018	26
7520	26
8213	26
9366	25
6462	24
6756	24
7011	23
9910	23
9392	22
5655	22
4071	22
349	22
5074	22
1434	21
1800	21
1781	21
6444	20
5714	20
1079	18
9130	18
4398	17
8971	17
1859	16
1491	16
2142	16
5657	15
9286	14
5794	14
74	14
3017	13
6300	13
6157	12
9143	12
5921	12
5726	11
6248	11
4017	11
115	10
1264	10
5703	10
2388	10
12	9
2671	9
4399	8
6077	8
3646	8
9039	8
5631	7
5518	7
8877	7
9907	7
1780	7
223	6
8363	6
5928	6
1370	6
3441	5
4029	5
9141	4
2441	4
3360	3
1371	3
9443	3
2032	2
8742	2
7756	2
5580	2
1962	1
3945	1
3633	1
8275	1
7985	1
